Defense,Position,Games Played,Players Faced,Pass Yards Allowed,Pass TD Allowed,Interceptions Forced,Rush Attempts Allowed,Rush Yards Allowed,Rush TD Allowed,Targets Allowed,Receptions Allowed,Receiving Yards Allowed,Receiving TD Allowed,PPR Points Allowed,Pass Yards Allowed Per Game,Pass TD Allowed Per Game,Interceptions Forced Per Game,Rush Attempts Allowed Per Game,Rush Yards Allowed Per Game,Rush TD Allowed Per Game,Targets Allowed Per Game,Receptions Allowed Per Game,Receiving Yards Allowed Per Game,Receiving TD Allowed Per Game,PPR Points Allowed Per Game,PPR Points Allowed Rank,Matchup Label
TB,RB,1,2,0,0,0,21,76,1,9,8,52,0,26.8,0.0,0.0,0.0,21.0,76.0,1.0,9.0,8.0,52.0,0.0,26.8,10,RB vs TB
CIN,RB,1,2,0,0,0,13,60,1,8,8,51,0,25.1,0.0,0.0,0.0,13.0,60.0,1.0,8.0,8.0,51.0,0.0,25.1,11,RB vs CIN
DET,RB,1,3,0,0,0,20,80,1,11,8,30,0,25.0,0.0,0.0,0.0,20.0,80.0,1.0,11.0,8.0,30.0,0.0,25.0,12,RB vs DET
NYG,RB,1,2,0,0,0,14,48,1,5,5,31,1,24.9,0.0,0.0,0.0,14.0,48.0,1.0,5.0,5.0,31.0,1.0,24.9,13,RB vs NYG
SF,RB,1,3,0,0,0,26,114,1,4,4,29,0,24.3,0.0,0.0,0.0,26.0,114.0,1.0,4.0,4.0,29.0,0.0,24.3,14,RB vs SF
TEN,RB,1,2,0,0,0,32,142,1,3,2,16,0,23.8,0.0,0.0,0.0,32.0,142.0,1.0,3.0,2.0,16.0,0.0,23.8,15,RB vs TEN
GB,RB,1,3,0,0,0,27,99,2,2,1,1,0,23.0,0.0,0.0,0.0,27.0,99.0,2.0,2.0,1.0,1.0,0.0,23.0,16,RB vs GB
LAC,RB,1,2,0,0,0,28,102,1,6,4,18,0,22.0,0.0,0.0,0.0,28.0,102.0,1.0,6.0,4.0,18.0,0.0,22.0,17,RB vs LAC
LAR,RB,1,2,0,0,0,24,133,0,9,6,25,0,21.8,0.0,0.0,0.0,24.0,133.0,0.0,9.0,6.0,25.0,0.0,21.8,18,RB vs LAR
PHI,RB,1,3,0,0,0,27,101,1,3,3,-2,0,18.9,0.0,0.0,0.0,27.0,101.0,1.0,3.0,3.0,-2.0,0.0,18.9,19,RB vs PHI
SEA,RB,1,3,0,0,0,24,62,0,8,7,53,0,18.5,0.0,0.0,0.0,24.0,62.0,0.0,8.0,7.0,53.0,0.0,18.5,20,RB vs SEA
ATL,RB,1,2,0,0,0,18,61,0,11,7,33,0,16.4,0.0,0.0,0.0,18.0,61.0,0.0,11.0,7.0,33.0,0.0,16.4,21,RB vs ATL
CLE,RB,1,3,0,0,0,25,121,0,2,2,22,0,16.3,0.0,0.0,0.0,25.0,121.0,0.0,2.0,2.0,22.0,0.0,16.3,22,RB vs CLE
JAX,RB,1,2,0,0,0,13,34,0,5,5,42,0,12.6,0.0,0.0,0.0,13.0,34.0,0.0,5.0,5.0,42.0,0.0,12.6,23,RB vs JAX
WSH,RB,1,3,0,0,0,18,90,0,3,2,5,0,11.5,0.0,0.0,0.0,18.0,90.0,0.0,3.0,2.0,5.0,0.0,11.5,24,RB vs WSH
ARI,RB,1,2,0,0,0,16,52,1,0,0,0,0,11.200000000000001,0.0,0.0,0.0,16.0,52.0,1.0,0.0,0.0,0.0,0.0,11.2,25,RB vs ARI
NE,RB,1,3,0,0,0,20,84,0,3,2,6,0,11.0,0.0,0.0,0.0,20.0,84.0,0.0,3.0,2.0,6.0,0.0,11.0,26,RB vs NE
HOU,RB,1,3,0,0,0,15,63,0,4,3,12,0,10.500000000000002,0.0,0.0,0.0,15.0,63.0,0.0,4.0,3.0,12.0,0.0,10.5,27,RB vs HOU
LV,RB,1,2,0,0,0,12,35,0,5,4,30,0,10.5,0.0,0.0,0.0,12.0,35.0,0.0,5.0,4.0,30.0,0.0,10.5,27,RB vs LV
NYJ,RB,1,2,0,0,0,10,47,0,6,3,11,0,8.8,0.0,0.0,0.0,10.0,47.0,0.0,6.0,3.0,11.0,0.0,8.8,29,RB vs NYJ
MIN,RB,1,2,0,0,0,20,66,0,2,0,0,0,6.6,0.0,0.0,0.0,20.0,66.0,0.0,2.0,0.0,0.0,0.0,6.6,30,RB vs MIN
DAL,TE,1,2,0,0,0,0,0,0,9,9,87,2,29.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,87.0,2.0,29.7,1,TE vs DAL
DET,TE,1,2,0,0,0,0,0,0,15,7,87,2,27.700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,87.0,2.0,27.7,2,TE vs DET
TB,TE,1,3,0,0,0,0,0,0,11,9,101,1,25.099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,101.0,1.0,25.1,3,TE vs TB
